timestamp,day,slot,tank_id,vapour_space_m3,ullage_m,liquid_temp_c,diurnal_swing_c,vent_area_m2,pv_setting_kpa,tvp_kpa,standing_loss_kl,working_loss_kl,total_evap_kl
2026-01-01 06:00:00,0,0,TK-01,1533.19,4.88,19.11,7.1,0.09,2.5,0.2387,3e-06,0.0,3e-06
2026-01-01 06:00:00,0,0,TK-02,1042.63,3.319,19.11,7.1,0.09,2.5,0.2387,2e-06,0.0,2e-06
2026-01-01 06:00:00,0,0,TK-03,1064.5,4.183,19.11,7.1,0.28,0.0,0.2387,0.000133,0.002094,0.002227
2026-01-01 06:00:00,0,0,TK-04,1729.41,5.505,19.11,7.1,0.09,2.5,0.2387,3e-06,0.0,3e-06
2026-01-01 06:00:00,0,0,TK-05,1894.13,4.983,19.11,7.1,0.11,2.5,0.2387,4e-06,0.0,4e-06
2026-01-01 14:00:00,0,1,TK-01,1597.35,5.085,26.73,7.1,0.09,2.5,0.3438,1e-06,0.0,1e-06
2026-01-01 14:00:00,0,1,TK-02,1119.13,3.562,26.73,7.1,0.09,2.5,0.3438,0.0,0.0,0.0
2026-01-01 14:00:00,0,1,TK-03,1114.53,4.38,26.73,7.1,0.28,0.0,0.3438,0.000191,0.0,0.000191
2026-01-01 14:00:00,0,1,TK-04,1539.17,4.899,26.73,7.1,0.09,2.5,0.3438,1e-06,0.003309,0.00331
2026-01-01 14:00:00,0,1,TK-05,1975.56,5.197,26.73,7.1,0.11,2.5,0.3438,1e-06,0.0,1e-06
2026-01-01 22:00:00,0,2,TK-01,1444.44,4.598,22.11,7.1,0.09,2.5,0.2763,2e-06,0.00193,0.001932
2026-01-01 22:00:00,0,2,TK-02,1152.47,3.668,22.11,7.1,0.09,2.5,0.2763,2e-06,0.0,2e-06
2026-01-01 22:00:00,0,2,TK-03,1136.34,4.466,22.11,7.1,0.28,0.0,0.2763,0.000161,0.0,0.000161
2026-01-01 22:00:00,0,2,TK-04,1567.79,4.99,22.11,7.1,0.09,2.5,0.2763,2e-06,0.0,2e-06
2026-01-01 22:00:00,0,2,TK-05,2011.06,5.29,22.11,7.1,0.11,2.5,0.2763,3e-06,0.0,3e-06
2026-01-02 06:00:00,1,0,TK-01,1492.24,4.75,20.97,7.1,0.09,2.5,0.2614,2e-06,0.0,2e-06
2026-01-02 06:00:00,1,0,TK-02,1205.56,3.837,20.97,7.1,0.09,2.5,0.2614,2e-06,0.0,2e-06
2026-01-02 06:00:00,1,0,TK-03,1171.05,4.602,20.97,7.1,0.28,0.0,0.2614,0.000158,0.0,0.000158
2026-01-02 06:00:00,1,0,TK-04,1613.35,5.135,20.97,7.1,0.09,2.5,0.2614,3e-06,0.0,3e-06
2026-01-02 06:00:00,1,0,TK-05,1822.41,4.794,20.97,7.1,0.11,2.5,0.2614,3e-06,0.002501,0.002504
2026-01-02 14:00:00,1,1,TK-01,1546.65,4.923,27.74,7.1,0.09,2.5,0.3605,0.0,0.0,0.0
2026-01-02 14:00:00,1,1,TK-02,1265.99,4.03,27.74,7.1,0.09,2.5,0.3605,0.0,0.0,0.0
2026-01-02 14:00:00,1,1,TK-03,1210.57,4.757,27.74,7.1,0.28,0.0,0.3605,0.000216,0.0,0.000216
2026-01-02 14:00:00,1,1,TK-04,1402.19,4.463,27.74,7.1,0.09,2.5,0.3605,0.0,0.003629,0.003629
2026-01-02 14:00:00,1,1,TK-05,1891.89,4.977,27.74,7.1,0.11,2.5,0.3605,0.0,0.0,0.0
2026-01-02 22:00:00,1,2,TK-01,1582.72,5.038,22.67,7.1,0.09,2.5,0.2838,2e-06,0.0,2e-06
2026-01-02 22:00:00,1,2,TK-02,1306.04,4.157,22.67,7.1,0.09,2.5,0.2838,2e-06,0.0,2e-06
2026-01-02 22:00:00,1,2,TK-03,1031.14,4.052,22.67,7.1,0.28,0.0,0.2838,0.00015,0.002254,0.002404
2026-01-02 22:00:00,1,2,TK-04,1440.31,4.585,22.67,7.1,0.09,2.5,0.2838,2e-06,0.0,2e-06
2026-01-02 22:00:00,1,2,TK-05,1937.94,5.098,22.67,7.1,0.11,2.5,0.2838,2e-06,0.0,2e-06
2026-01-03 06:00:00,2,0,TK-01,1384.05,4.406,20.69,7.1,0.09,2.5,0.2579,2e-06,0.002447,0.002449
2026-01-03 06:00:00,2,0,TK-02,1355.0,4.313,20.69,7.1,0.09,2.5,0.2579,2e-06,0.0,2e-06
2026-01-03 06:00:00,2,0,TK-03,1066.78,4.192,20.69,7.1,0.28,0.0,0.2579,0.000143,0.0,0.000143
2026-01-03 06:00:00,2,0,TK-04,1486.9,4.733,20.69,7.1,0.09,2.5,0.2579,2e-06,0.0,2e-06
2026-01-03 06:00:00,2,0,TK-05,1994.22,5.246,20.69,7.1,0.11,2.5,0.2579,3e-06,0.0,3e-06
2026-01-03 14:00:00,2,1,TK-01,1443.72,4.596,27.79,7.1,0.09,2.5,0.3613,0.0,0.0,0.0
2026-01-03 14:00:00,2,1,TK-02,1415.31,4.505,27.79,7.1,0.09,2.5,0.3613,0.0,0.0,0.0
2026-01-03 14:00:00,2,1,TK-03,1110.69,4.365,27.79,7.1,0.28,0.0,0.3613,0.000199,0.0,0.000199
2026-01-03 14:00:00,2,1,TK-04,1544.29,4.916,27.79,7.1,0.09,2.5,0.3613,0.0,0.0,0.0
2026-01-03 14:00:00,2,1,TK-05,1889.33,4.97,27.79,7.1,0.11,2.5,0.3613,0.0,0.002412,0.002413
2026-01-03 22:00:00,2,2,TK-01,1478.88,4.707,22.0,7.1,0.09,2.5,0.2748,2e-06,0.0,2e-06
2026-01-03 22:00:00,2,2,TK-02,1450.84,4.618,22.0,7.1,0.09,2.5,0.2748,2e-06,0.0,2e-06
2026-01-03 22:00:00,2,2,TK-03,1136.56,4.466,22.0,7.1,0.28,0.0,0.2748,0.00016,0.0,0.00016
2026-01-03 22:00:00,2,2,TK-04,1437.8,4.577,22.0,7.1,0.09,2.5,0.2748,2e-06,0.001493,0.001495
2026-01-03 22:00:00,2,2,TK-05,1932.5,5.084,22.0,7.1,0.11,2.5,0.2748,3e-06,0.0,3e-06
2026-01-04 06:00:00,3,0,TK-01,1528.06,4.864,19.87,7.1,0.09,2.5,0.2477,3e-06,0.0,3e-06
2026-01-04 06:00:00,3,0,TK-02,1500.56,4.776,19.87,7.1,0.09,2.5,0.2477,3e-06,0.0,3e-06
2026-01-04 06:00:00,3,0,TK-03,970.96,3.816,19.87,7.1,0.28,0.0,0.2477,0.000126,0.001959,0.002085
2026-01-04 06:00:00,3,0,TK-04,1487.76,4.736,19.87,7.1,0.09,2.5,0.2477,3e-06,0.0,3e-06
2026-01-04 06:00:00,3,0,TK-05,1992.91,5.243,19.87,7.1,0.11,2.5,0.2477,4e-06,0.0,4e-06
2026-01-04 14:00:00,3,1,TK-01,1579.19,5.027,27.17,7.1,0.09,2.5,0.351,0.0,0.0,0.0
2026-01-04 14:00:00,3,1,TK-02,1552.24,4.941,27.17,7.1,0.09,2.5,0.351,0.0,0.0,0.0
2026-01-04 14:00:00,3,1,TK-03,1012.62,3.979,27.17,7.1,0.28,0.0,0.351,0.000177,0.0,0.000177
2026-01-04 14:00:00,3,1,TK-04,1539.7,4.901,27.17,7.1,0.09,2.5,0.351,0.0,0.0,0.0
2026-01-04 14:00:00,3,1,TK-05,1742.01,4.583,27.17,7.1,0.11,2.5,0.351,0.0,0.004219,0.004219
2026-01-04 22:00:00,3,2,TK-01,1424.89,4.536,22.55,7.1,0.09,2.5,0.2822,2e-06,0.001953,0.001954
2026-01-04 22:00:00,3,2,TK-02,1577.83,5.022,22.55,7.1,0.09,2.5,0.2822,2e-06,0.0,2e-06
2026-01-04 22:00:00,3,2,TK-03,1033.26,4.06,22.55,7.1,0.28,0.0,0.2822,0.00015,0.0,0.00015
2026-01-04 22:00:00,3,2,TK-04,1565.42,4.983,22.55,7.1,0.09,2.5,0.2822,2e-06,0.0,2e-06
2026-01-04 22:00:00,3,2,TK-05,1776.28,4.673,22.55,7.1,0.11,2.5,0.2822,2e-06,0.0,2e-06
2026-01-05 06:00:00,4,0,TK-01,1476.53,4.7,19.61,7.1,0.09,2.5,0.2446,3e-06,0.0,3e-06
2026-01-05 06:00:00,4,0,TK-02,1370.35,4.362,19.61,7.1,0.09,2.5,0.2446,3e-06,0.002461,0.002464
2026-01-05 06:00:00,4,0,TK-03,1072.49,4.215,19.61,7.1,0.28,0.0,0.2446,0.000137,0.0,0.000137
2026-01-05 06:00:00,4,0,TK-04,1614.33,5.139,19.61,7.1,0.09,2.5,0.2446,3e-06,0.0,3e-06
2026-01-05 06:00:00,4,0,TK-05,1841.44,4.844,19.61,7.1,0.11,2.5,0.2446,3e-06,0.0,3e-06
2026-01-05 14:00:00,4,1,TK-01,1521.35,4.843,27.5,7.1,0.09,2.5,0.3564,0.0,0.0,0.0
2026-01-05 14:00:00,4,1,TK-02,1417.0,4.51,27.5,7.1,0.09,2.5,0.3564,0.0,0.0,0.0
2026-01-05 14:00:00,4,1,TK-03,1106.54,4.348,27.5,7.1,0.28,0.0,0.3564,0.000196,0.0,0.000196
2026-01-05 14:00:00,4,1,TK-04,1335.68,4.252,27.5,7.1,0.09,2.5,0.3564,0.0,0.004367,0.004368
2026-01-05 14:00:00,4,1,TK-05,1898.0,4.993,27.5,7.1,0.11,2.5,0.3564,0.0,0.0,0.0
2026-01-05 22:00:00,4,2,TK-01,1390.78,4.427,21.24,7.1,0.09,2.5,0.2648,2e-06,0.001642,0.001644
2026-01-05 22:00:00,4,2,TK-02,1447.54,4.608,21.24,7.1,0.09,2.5,0.2648,2e-06,0.0,2e-06
2026-01-05 22:00:00,4,2,TK-03,1128.84,4.436,21.24,7.1,0.28,0.0,0.2648,0.000154,0.0,0.000154
2026-01-05 22:00:00,4,2,TK-04,1367.15,4.352,21.24,7.1,0.09,2.5,0.2648,2e-06,0.0,2e-06
2026-01-05 22:00:00,4,2,TK-05,1935.03,5.09,21.24,7.1,0.11,2.5,0.2648,3e-06,0.0,3e-06
2026-01-06 06:00:00,5,0,TK-01,1445.17,4.6,19.74,7.1,0.09,2.5,0.2462,3e-06,0.0,3e-06
2026-01-06 06:00:00,5,0,TK-02,1500.78,4.777,19.74,7.1,0.09,2.5,0.2462,3e-06,0.0,3e-06
2026-01-06 06:00:00,5,0,TK-03,1167.71,4.589,19.74,7.1,0.28,0.0,0.2462,0.00015,0.0,0.00015
2026-01-06 06:00:00,5,0,TK-04,1422.02,4.526,19.74,7.1,0.09,2.5,0.2462,3e-06,0.0,3e-06
2026-01-06 06:00:00,5,0,TK-05,1812.1,4.767,19.74,7.1,0.11,2.5,0.2462,3e-06,0.001814,0.001817
2026-01-06 14:00:00,5,1,TK-01,1503.06,4.784,27.15,7.1,0.09,2.5,0.3508,0.0,0.0,0.0
2026-01-06 14:00:00,5,1,TK-02,1557.45,4.958,27.15,7.1,0.09,2.5,0.3508,0.0,0.0,0.0
2026-01-06 14:00:00,5,1,TK-03,897.67,3.528,27.15,7.1,0.28,0.0,0.3508,0.000158,0.004189,0.004347
2026-01-06 14:00:00,5,1,TK-04,1480.42,4.712,27.15,7.1,0.09,2.5,0.3508,0.0,0.0,0.0
2026-01-06 14:00:00,5,1,TK-05,1884.93,4.959,27.15,7.1,0.11,2.5,0.3508,0.0,0.0,0.0
2026-01-06 22:00:00,5,2,TK-01,1533.2,4.88,21.59,7.1,0.09,2.5,0.2694,2e-06,0.0,2e-06
2026-01-06 22:00:00,5,2,TK-02,1417.14,4.511,21.59,7.1,0.09,2.5,0.2694,2e-06,0.001771,0.001773
2026-01-06 22:00:00,5,2,TK-03,922.84,3.627,21.59,7.1,0.28,0.0,0.2694,0.000129,0.0,0.000129
2026-01-06 22:00:00,5,2,TK-04,1510.82,4.809,21.59,7.1,0.09,2.5,0.2694,2e-06,0.0,2e-06
2026-01-06 22:00:00,5,2,TK-05,1922.84,5.058,21.59,7.1,0.11,2.5,0.2694,3e-06,0.0,3e-06
2026-01-07 06:00:00,6,0,TK-01,1348.88,4.294,22.66,7.1,0.09,2.5,0.2836,2e-06,0.002595,0.002597
2026-01-07 06:00:00,6,0,TK-02,1470.34,4.68,22.66,7.1,0.09,2.5,0.2836,2e-06,0.0,2e-06
2026-01-07 06:00:00,6,0,TK-03,965.35,3.794,22.66,7.1,0.28,0.0,0.2836,0.000141,0.0,0.000141
2026-01-07 06:00:00,6,0,TK-04,1562.14,4.972,22.66,7.1,0.09,2.5,0.2836,2e-06,0.0,2e-06
2026-01-07 06:00:00,6,0,TK-05,1986.85,5.227,22.66,7.1,0.11,2.5,0.2836,3e-06,0.0,3e-06
2026-01-07 14:00:00,6,1,TK-01,1404.19,4.47,26.57,7.1,0.09,2.5,0.3413,1e-06,0.0,1e-06
2026-01-07 14:00:00,6,1,TK-02,1523.2,4.848,26.57,7.1,0.09,2.5,0.3413,1e-06,0.0,1e-06
2026-01-07 14:00:00,6,1,TK-03,1007.58,3.96,26.57,7.1,0.28,0.0,0.3413,0.000172,0.0,0.000172
2026-01-07 14:00:00,6,1,TK-04,1613.15,5.135,26.57,7.1,0.09,2.5,0.3413,1e-06,0.0,1e-06
2026-01-07 14:00:00,6,1,TK-05,1753.33,4.612,26.57,7.1,0.11,2.5,0.3413,1e-06,0.003894,0.003895
2026-01-07 22:00:00,6,2,TK-01,1438.8,4.58,22.69,7.1,0.09,2.5,0.2841,2e-06,0.0,2e-06
2026-01-07 22:00:00,6,2,TK-02,1556.26,4.954,22.69,7.1,0.09,2.5,0.2841,2e-06,0.0,2e-06
2026-01-07 22:00:00,6,2,TK-03,1034.0,4.063,22.69,7.1,0.28,0.0,0.2841,0.000151,0.0,0.000151
2026-01-07 22:00:00,6,2,TK-04,1474.21,4.693,22.69,7.1,0.09,2.5,0.2841,2e-06,0.001874,0.001876
2026-01-07 22:00:00,6,2,TK-05,1796.96,4.727,22.69,7.1,0.11,2.5,0.2841,2e-06,0.0,2e-06
2026-01-08 06:00:00,7,0,TK-01,1489.44,4.741,19.13,7.1,0.09,2.5,0.239,3e-06,0.0,3e-06
2026-01-08 06:00:00,7,0,TK-02,1378.13,4.387,19.13,7.1,0.09,2.5,0.239,3e-06,0.00213,0.002133
2026-01-08 06:00:00,7,0,TK-03,1072.66,4.215,19.13,7.1,0.28,0.0,0.239,0.000134,0.0,0.000134
2026-01-08 06:00:00,7,0,TK-04,1524.17,4.852,19.13,7.1,0.09,2.5,0.239,3e-06,0.0,3e-06
2026-01-08 06:00:00,7,0,TK-05,1860.79,4.895,19.13,7.1,0.11,2.5,0.239,4e-06,0.0,4e-06
