day,slot,mechanism,location,kl15,note
0,0,evaporation,TK-01,3e-06,"PV valve, set 2.5 kPa"
0,0,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
0,0,evaporation,TK-03,0.002227,FREE VENT - PV valve missing/stuck open
0,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
0,0,evaporation,TK-05,4e-06,"PV valve, set 2.5 kPa"
0,0,evaporation,loading bays,0.001947,vapour displaced from road tankers
0,1,evaporation,TK-01,1e-06,"PV valve, set 2.5 kPa"
0,1,evaporation,TK-02,0.0,"PV valve, set 2.5 kPa"
0,1,evaporation,TK-03,0.000191,FREE VENT - PV valve missing/stuck open
0,1,evaporation,TK-04,0.00331,"PV valve, set 2.5 kPa"
0,1,evaporation,TK-05,1e-06,"PV valve, set 2.5 kPa"
0,1,evaporation,loading bays,0.003639,vapour displaced from road tankers
0,2,evaporation,TK-01,0.001932,"PV valve, set 2.5 kPa"
0,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
0,2,evaporation,TK-03,0.000161,FREE VENT - PV valve missing/stuck open
0,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
0,2,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
0,2,evaporation,loading bays,0.001313,vapour displaced from road tankers
1,0,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
1,0,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
1,0,evaporation,TK-03,0.000158,FREE VENT - PV valve missing/stuck open
1,0,evaporation,TK-04,3e-06,"PV valve, set 2.5 kPa"
1,0,evaporation,TK-05,0.002504,"PV valve, set 2.5 kPa"
1,0,evaporation,loading bays,0.002022,vapour displaced from road tankers
1,1,evaporation,TK-01,0.0,"PV valve, set 2.5 kPa"
1,1,evaporation,TK-02,0.0,"PV valve, set 2.5 kPa"
1,1,evaporation,TK-03,0.000216,FREE VENT - PV valve missing/stuck open
1,1,evaporation,TK-04,0.003629,"PV valve, set 2.5 kPa"
1,1,evaporation,TK-05,0.0,"PV valve, set 2.5 kPa"
1,1,evaporation,loading bays,0.003168,vapour displaced from road tankers
1,2,evaporation,TK-01,2e-06,"PV valve, set 2.5 kPa"
1,2,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
1,2,evaporation,TK-03,0.002404,FREE VENT - PV valve missing/stuck open
1,2,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
1,2,evaporation,TK-05,2e-06,"PV valve, set 2.5 kPa"
1,2,evaporation,loading bays,0.001708,vapour displaced from road tankers
2,0,evaporation,TK-01,0.002449,"PV valve, set 2.5 kPa"
2,0,evaporation,TK-02,2e-06,"PV valve, set 2.5 kPa"
2,0,evaporation,TK-03,0.000143,FREE VENT - PV valve missing/stuck open
2,0,evaporation,TK-04,2e-06,"PV valve, set 2.5 kPa"
2,0,evaporation,TK-05,3e-06,"PV valve, set 2.5 kPa"
2,0,evaporation,loading bays,0.001946,vapour displaced from road tankers
