day,slot,entry_type,asset_id,note,quantity_kl
0,0,meter proving,LB-01,"master-meter proving, factor reset",
0,0,meter proving,LB-02,"master-meter proving, factor reset",
0,0,meter proving,LB-03,"master-meter proving, factor reset",
0,0,meter proving,LB-04,"master-meter proving, factor reset",
0,0,meter proving,LB-05,"master-meter proving, factor reset",
0,0,meter proving,LB-06,"master-meter proving, factor reset",
0,0,meter proving,LB-07,"master-meter proving, factor reset",
0,0,meter proving,LB-08,"master-meter proving, factor reset",
0,0,meter proving,LB-09,"master-meter proving, factor reset",
0,0,meter proving,LB-10,"master-meter proving, factor reset",
0,1,tank gauging check,TK-01,manual dip vs ATG cross-check,
14,1,tank gauging check,TK-02,manual dip vs ATG cross-check,
28,1,tank gauging check,TK-03,manual dip vs ATG cross-check,
42,1,tank gauging check,TK-04,manual dip vs ATG cross-check,
56,1,tank gauging check,TK-05,manual dip vs ATG cross-check,
70,1,tank gauging check,TK-01,manual dip vs ATG cross-check,
77,1,SPILL REPORTED,LB-05,hose coupling failure during loading,8.5
84,1,tank gauging check,TK-02,manual dip vs ATG cross-check,
90,0,meter proving,LB-01,"master-meter proving, factor reset",
90,0,meter proving,LB-02,"master-meter proving, factor reset",
90,0,meter proving,LB-03,"master-meter proving, factor reset",
90,0,meter proving,LB-04,"master-meter proving, factor reset",
90,0,meter proving,LB-05,"master-meter proving, factor reset",
90,0,meter proving,LB-06,"master-meter proving, factor reset",
90,0,meter proving,LB-07,"master-meter proving, factor reset",
90,0,meter proving,LB-08,"master-meter proving, factor reset",
90,0,meter proving,LB-09,"master-meter proving, factor reset",
90,0,meter proving,LB-10,"master-meter proving, factor reset",
98,1,tank gauging check,TK-03,manual dip vs ATG cross-check,
112,1,tank gauging check,TK-04,manual dip vs ATG cross-check,
126,1,tank gauging check,TK-05,manual dip vs ATG cross-check,
134,0,SPILL REPORTED,LB-09,"tank overfill at bay, bund recovered",6.5
140,1,tank gauging check,TK-01,manual dip vs ATG cross-check,
154,1,tank gauging check,TK-02,manual dip vs ATG cross-check,
168,1,tank gauging check,TK-03,manual dip vs ATG cross-check,
