timestamp,day,slot,batch_id,dispatched_kl15,received_kl15,transit_loss_kl15,temp_c,density_15c
2026-01-01 06:00:00,0,0,B0000,227.432,227.432,0.0,19.14,833.7
2026-01-01 14:00:00,0,1,B0001,255.902,255.902,0.0,26.52,831.36
2026-01-01 22:00:00,0,2,B0002,182.926,182.926,0.0,21.92,833.4
2026-01-02 06:00:00,1,0,B0010,249.68,249.68,0.0,20.53,833.83
2026-01-02 14:00:00,1,1,B0011,268.676,268.676,0.0,28.0,833.92
2026-01-02 22:00:00,1,2,B0012,208.599,208.599,0.0,23.21,836.17
2026-01-03 06:00:00,2,0,B0020,247.104,247.104,0.0,20.83,828.97
2026-01-03 14:00:00,2,1,B0021,178.168,178.168,0.0,27.84,829.19
2026-01-03 22:00:00,2,2,B0022,142.205,142.205,0.0,21.76,831.24
2026-01-04 06:00:00,3,0,B0030,205.676,205.676,0.0,20.35,832.27
2026-01-04 14:00:00,3,1,B0031,320.087,320.087,0.0,27.31,832.64
2026-01-04 22:00:00,3,2,B0032,181.453,181.453,0.0,22.9,833.64
2026-01-05 06:00:00,4,0,B0040,261.221,261.221,0.0,19.38,832.08
2026-01-05 14:00:00,4,1,B0041,326.716,326.716,0.0,27.4,831.92
2026-01-05 22:00:00,4,2,B0042,161.768,161.768,0.0,21.12,829.32
2026-01-06 06:00:00,5,0,B0050,191.341,191.341,0.0,19.64,830.76
2026-01-06 14:00:00,5,1,B0051,318.398,318.398,0.0,26.97,833.81
2026-01-06 22:00:00,5,2,B0052,171.816,171.816,0.0,21.74,832.33
2026-01-07 06:00:00,6,0,B0060,239.99,239.99,0.0,22.72,832.87
2026-01-07 14:00:00,6,1,B0061,303.254,303.254,0.0,26.54,832.79
2026-01-07 22:00:00,6,2,B0062,173.077,173.077,0.0,22.79,831.73
2026-01-08 06:00:00,7,0,B0070,230.939,230.939,0.0,18.86,830.14
2026-01-08 14:00:00,7,1,B0071,261.224,261.224,0.0,26.95,833.03
2026-01-08 22:00:00,7,2,B0072,171.145,171.145,0.0,22.91,829.69
2026-01-09 06:00:00,8,0,B0080,235.636,235.636,0.0,19.35,830.2
2026-01-09 14:00:00,8,1,B0081,303.115,303.115,0.0,26.01,834.15
2026-01-09 22:00:00,8,2,B0082,167.917,167.917,0.0,22.04,833.79
2026-01-10 06:00:00,9,0,B0090,248.305,248.305,0.0,20.29,828.84
2026-01-10 14:00:00,9,1,B0091,227.837,227.837,0.0,27.45,835.05
2026-01-10 22:00:00,9,2,B0092,178.633,178.633,0.0,22.31,831.17
2026-01-11 06:00:00,10,0,B0100,203.131,203.131,0.0,20.68,833.55
2026-01-11 14:00:00,10,1,B0101,286.344,286.344,0.0,27.81,826.06
2026-01-11 22:00:00,10,2,B0102,125.39,125.39,0.0,21.76,828.94
2026-01-12 06:00:00,11,0,B0110,186.795,186.795,0.0,19.67,834.73
2026-01-12 14:00:00,11,1,B0111,298.804,298.804,0.0,25.84,829.2
2026-01-12 22:00:00,11,2,B0112,185.214,185.214,0.0,23.2,830.29
2026-01-13 06:00:00,12,0,B0120,250.119,250.119,0.0,20.38,831.0
2026-01-13 14:00:00,12,1,B0121,304.738,304.738,0.0,25.35,833.22
2026-01-13 22:00:00,12,2,B0122,152.319,152.319,0.0,21.44,831.81
2026-01-14 06:00:00,13,0,B0130,294.549,294.549,0.0,18.84,829.07
2026-01-14 14:00:00,13,1,B0131,323.914,323.914,0.0,27.47,835.54
2026-01-14 22:00:00,13,2,B0132,167.667,167.667,0.0,20.52,835.72
2026-01-15 06:00:00,14,0,B0140,206.714,206.714,0.0,20.68,836.04
2026-01-15 14:00:00,14,1,B0141,319.466,319.466,0.0,26.62,834.27
2026-01-15 22:00:00,14,2,B0142,162.685,162.685,0.0,22.23,833.52
2026-01-16 06:00:00,15,0,B0150,226.625,226.625,0.0,20.49,833.88
2026-01-16 14:00:00,15,1,B0151,338.118,338.118,0.0,25.09,832.99
2026-01-16 22:00:00,15,2,B0152,130.682,130.682,0.0,21.15,833.06
2026-01-17 06:00:00,16,0,B0160,224.979,224.979,0.0,19.37,830.77
2026-01-17 14:00:00,16,1,B0161,219.634,219.634,0.0,27.29,832.74
2026-01-17 22:00:00,16,2,B0162,169.217,169.217,0.0,23.03,830.79
2026-01-18 06:00:00,17,0,B0170,263.44,263.44,0.0,20.81,833.86
2026-01-18 14:00:00,17,1,B0171,247.396,247.396,0.0,26.89,834.04
2026-01-18 22:00:00,17,2,B0172,168.937,168.937,0.0,22.21,831.99
2026-01-19 06:00:00,18,0,B0180,201.841,201.841,0.0,20.01,831.8
2026-01-19 14:00:00,18,1,B0181,264.685,264.685,0.0,26.54,829.28
2026-01-19 22:00:00,18,2,B0182,158.343,158.343,0.0,21.08,833.46
2026-01-20 06:00:00,19,0,B0190,209.438,209.438,0.0,20.06,835.0
2026-01-20 14:00:00,19,1,B0191,236.583,236.583,0.0,24.61,832.65
