timestamp,day,slot,tank_id,product,dip_level_m,observed_volume_kl,temp_c,density_obs_kgm3,density_15c,vcf,net_volume_kl15,mass_tonnes,water_dip_cm,ullage_m,vapour_space_m3
2026-01-01 06:00:00,0,0,TK-01,HSD,8.144,2558.52,18.87,830.14,832.9,0.996683,2550.034,2123.928,1.5,4.856,1533.19
2026-01-01 06:00:00,0,0,TK-02,HSD,9.7104,3050.625,18.84,829.2,831.95,0.996694,3040.54,2529.568,1.2,3.29,1042.63
2026-01-01 06:00:00,0,0,TK-03,HSD,7.8479,1997.052,19.39,828.31,831.45,0.996218,1989.5,1654.176,0.7,4.152,1064.5
2026-01-01 06:00:00,0,0,TK-04,HSD,7.5255,2364.207,19.45,829.63,832.81,0.996178,2355.172,1961.406,1.1,5.474,1729.41
2026-01-01 06:00:00,0,0,TK-05,HSD,8.5459,3248.563,19.74,828.44,831.83,0.995926,3235.327,2691.252,1.2,4.954,1894.13
2026-01-01 14:00:00,0,1,TK-01,HSD,7.9905,2510.288,26.58,824.38,832.68,0.990037,2485.278,2069.436,1.6,5.01,1597.35
2026-01-01 14:00:00,0,1,TK-02,HSD,9.5361,2995.84,26.67,823.65,832.02,0.989947,2965.723,2467.53,1.0,3.464,1119.13
2026-01-01 14:00:00,0,1,TK-03,HSD,7.6987,1959.081,26.61,823.7,832.02,0.99,1939.491,1613.698,1.2,4.301,1114.53
2026-01-01 14:00:00,0,1,TK-04,HSD,8.1828,2570.697,26.67,823.49,831.86,0.989946,2544.851,2116.951,1.2,4.817,1539.17
2026-01-01 14:00:00,0,1,TK-05,HSD,8.3901,3189.357,26.84,823.53,832.02,0.989805,3156.841,2626.541,1.2,5.11,1975.56
2026-01-01 22:00:00,0,2,TK-01,HSD,8.4571,2656.881,22.16,826.78,831.91,0.993835,2640.502,2196.665,1.5,4.543,1444.45
2026-01-01 22:00:00,0,2,TK-02,HSD,9.3894,2949.782,22.06,825.93,830.99,0.993913,2931.827,2436.324,1.2,3.611,1152.48
2026-01-01 22:00:00,0,2,TK-03,HSD,7.585,1930.15,22.09,826.76,831.84,0.993896,1918.369,1595.776,1.0,4.415,1136.34
2026-01-01 22:00:00,0,2,TK-04,HSD,8.0589,2531.791,22.16,826.46,831.59,0.993832,2516.175,2092.432,1.5,4.941,1567.79
2026-01-01 22:00:00,0,2,TK-05,HSD,8.2588,3139.442,21.34,827.29,831.83,0.994541,3122.303,2597.221,1.1,5.241,2011.06
2026-01-02 06:00:00,1,0,TK-01,HSD,8.2915,2604.838,20.86,829.14,833.33,0.994976,2591.75,2159.777,1.8,4.709,1492.24
2026-01-02 06:00:00,1,0,TK-02,HSD,9.2123,2894.133,21.02,827.53,831.84,0.994821,2879.144,2394.979,1.4,3.788,1205.56
2026-01-02 06:00:00,1,0,TK-03,HSD,7.4405,1893.372,21.16,827.74,832.15,0.9947,1883.336,1567.218,1.7,4.56,1171.05
2026-01-02 06:00:00,1,0,TK-04,HSD,7.9056,2483.63,21.05,827.09,831.42,0.994791,2470.693,2054.174,0.5,5.094,1613.35
2026-01-02 06:00:00,1,0,TK-05,HSD,8.7526,3327.15,20.79,829.46,833.6,0.995039,3310.643,2759.754,0.4,4.747,1822.41
2026-01-02 14:00:00,1,1,TK-01,HSD,8.1656,2565.314,26.94,822.92,831.48,0.989704,2538.902,2111.054,1.3,4.834,1546.65
2026-01-02 14:00:00,1,1,TK-02,HSD,9.0691,2849.15,27.45,823.41,832.33,0.989286,2818.623,2346.014,1.1,3.931,1265.99
2026-01-02 14:00:00,1,1,TK-03,HSD,7.3201,1862.735,27.56,823.1,832.1,0.989182,1842.584,1533.222,1.0,4.68,1210.58
2026-01-02 14:00:00,1,1,TK-04,HSD,8.6385,2713.865,27.87,822.05,831.28,0.988892,2683.72,2230.93,0.9,4.361,1402.19
2026-01-02 14:00:00,1,1,TK-05,HSD,8.6203,3276.869,27.99,824.16,833.46,0.988842,3240.304,2700.656,1.2,4.88,1891.89
2026-01-02 22:00:00,1,2,TK-01,HSD,8.0103,2516.495,22.45,826.77,832.11,0.99359,2500.365,2080.567,1.1,4.99,1582.72
2026-01-02 22:00:00,1,2,TK-02,HSD,8.8987,2795.597,22.48,826.48,831.83,0.993563,2777.603,2310.506,1.0,4.101,1306.04
2026-01-02 22:00:00,1,2,TK-03,HSD,8.0039,2036.738,22.74,826.71,832.25,0.993345,2023.183,1683.788,1.0,3.996,1031.14
2026-01-02 22:00:00,1,2,TK-04,HSD,8.4724,2661.695,22.89,826.18,831.83,0.993209,2643.619,2199.052,0.9,4.528,1440.31
2026-01-02 22:00:00,1,2,TK-05,HSD,8.4613,3216.418,22.88,825.97,831.62,0.993211,3194.582,2656.669,1.0,5.039,1937.94
2026-01-03 06:00:00,2,0,TK-01,HSD,8.6301,2711.241,20.73,827.96,832.06,0.995076,2697.89,2244.799,1.2,4.37,1384.05
2026-01-03 06:00:00,2,0,TK-02,HSD,8.735,2744.167,20.87,827.21,831.41,0.994948,2730.303,2269.999,1.3,4.265,1355.0
2026-01-03 06:00:00,2,0,TK-03,HSD,7.8495,1997.444,21.01,828.2,832.5,0.994835,1987.127,1654.283,1.0,4.151,1066.78
2026-01-03 06:00:00,2,0,TK-04,HSD,8.3066,2609.585,20.68,828.29,832.35,0.995118,2596.845,2161.491,1.3,4.693,1486.9
2026-01-03 06:00:00,2,0,TK-05,HSD,8.2978,3154.273,20.73,826.89,831.0,0.995055,3138.676,2608.231,1.0,5.202,1994.22
2026-01-03 14:00:00,2,1,TK-01,HSD,8.4981,2669.751,27.46,822.79,831.73,0.989257,2641.071,2196.649,1.2,4.502,1443.72
2026-01-03 14:00:00,2,1,TK-02,HSD,8.5914,2699.065,27.99,822.47,831.78,0.988801,2668.838,2219.893,0.7,4.409,1415.31
2026-01-03 14:00:00,2,1,TK-03,HSD,7.7221,1965.04,28.06,823.89,833.24,0.988778,1942.987,1618.977,1.1,4.278,1110.69
2026-01-03 14:00:00,2,1,TK-04,HSD,8.1791,2569.547,28.0,823.8,833.11,0.988829,2540.842,2116.802,1.4,4.821,1544.29
2026-01-03 14:00:00,2,1,TK-05,HSD,8.6274,3279.568,28.05,821.96,831.32,0.988738,3242.634,2695.659,1.2,4.873,1889.33
2026-01-03 22:00:00,2,2,TK-01,HSD,8.3446,2621.523,21.75,826.88,831.72,0.994187,2606.283,2167.694,0.9,4.655,1478.88
2026-01-03 22:00:00,2,2,TK-02,HSD,8.4363,2650.354,22.17,827.79,832.91,0.993846,2634.044,2193.935,0.8,4.564,1450.84
2026-01-03 22:00:00,2,2,TK-03,HSD,7.5834,1929.746,21.98,827.2,832.2,0.993995,1918.159,1596.287,1.5,4.417,1136.56
2026-01-03 22:00:00,2,2,TK-04,HSD,8.4738,2662.134,22.21,826.54,831.71,0.993789,2645.598,2200.364,0.6,4.526,1437.8
2026-01-03 22:00:00,2,2,TK-05,HSD,8.4687,3219.237,22.17,826.26,831.4,0.993823,3199.352,2659.93,1.2,5.031,1932.5
2026-01-04 06:00:00,3,0,TK-01,HSD,8.1696,2566.571,20.03,829.12,832.71,0.995678,2555.478,2127.984,0.8,4.83,1528.06
2026-01-04 06:00:00,3,0,TK-02,HSD,8.2543,2593.168,19.79,829.06,832.49,0.995887,2582.503,2149.899,0.9,4.746,1500.56
2026-01-04 06:00:00,3,0,TK-03,HSD,8.2196,2091.631,20.06,828.46,832.08,0.995651,2082.533,1732.839,1.0,3.78,970.96
