day,opening_net_kl15,receipts_net_kl15,deliveries_net_kl15,closing_net_kl15,opening_obs_kl,receipts_obs_kl,deliveries_obs_kl,closing_obs_kl,date,unaccounted_net_kl15,unaccounted_raw_kl,throughput_kl15,unaccounted_pct
1,13129.176,726.9557896026355,712.9739794343849,13139.351999999999,13208.046,732.6128644385047,718.5678263821826,13226.943000000001,2026-01-02,3.8058101682527194,-4.851961943679271,712.9739794343849,0.5337936976706972
2,13139.351999999999,567.4767002556921,706.0065531650249,13003.436,13226.943000000001,571.5394806380111,711.5652707851519,13082.994,2026-01-03,-2.613852909333218,3.923209852860964,706.0065531650249,-0.37023068661548886
3,13003.436,707.2159380134124,648.3094157626865,13059.905,13082.994,712.6587098485287,653.0355447675942,13145.289999999999,2026-01-04,2.4375222507242142,-2.6728349190634617,648.3094157626865,0.3759813125429708
4,13059.905,749.7050087978729,641.2976196118101,13168.266,13145.289999999999,755.1734560245701,645.6713738278527,13238.666000000001,2026-01-05,0.04638918606360676,16.126082196715288,641.2976196118101,0.007233643887792228
5,13168.266,681.5554247940761,718.9571754692905,13132.481,13238.666000000001,686.6875494484082,724.0162238416104,13207.862000000001,2026-01-06,-1.6167506752135523,-6.524674393202076,718.9571754692905,-0.22487440564985503
6,13132.481,716.3206092931217,709.6586710455381,13136.562000000002,13207.862000000001,722.1184404069013,715.3195008954481,13224.386999999999,2026-01-07,2.5809382475817984,-9.726060488545045,709.6586710455381,0.36368727007581114
7,13136.562000000002,663.308656589533,690.3502990826587,13113.364,13224.386999999999,668.0065422681915,695.2088739931877,13202.913,2026-01-08,-3.8436424931223883,-5.7283317249984975,690.3502990826587,-0.556766977320042
8,13113.364,706.6675381814947,657.4527199634981,13162.798,13202.913,711.4108829093876,661.7759466053055,13242.284,2026-01-09,-0.21918178200394323,10.263936304083472,657.4527199634981,-0.033338029541669895
9,13162.798,654.7743798084086,689.8306776425488,13124.615,13242.284,659.5254477544678,695.196980073276,13205.616,2026-01-10,3.126702165860479,0.996467681190552,689.8306776425488,0.45325646817357834
10,13124.615,614.865323502311,639.826465061339,13099.286,13205.616,619.7358400845443,644.5401430449243,13176.653,2026-01-11,0.3678584409717587,4.158697039620165,639.826465061339,0.05749347066106319
11,13099.286,670.813254460309,711.050630590259,13057.142,13176.653,675.61195335685,715.9759793036027,13150.454,2026-01-12,1.9066238700506801,-14.165025946751484,711.050630590259,0.2681417873812937
12,13057.142,707.1764644927227,692.3456991585527,13079.364,13150.454,711.9870499113246,697.1101741032885,13147.407,2026-01-13,-7.39123466583078,17.92387580803552,692.3456991585527,-1.0675641770886668
13,13079.364,786.1293359847695,708.5039271583918,13149.423,13147.407,791.4315147260685,713.3475761949261,13212.573,2026-01-14,7.566408826376573,12.917938531139953,708.5039271583918,1.0679416918298947
14,13149.423,688.8658383557304,756.9782913412998,13081.893,13212.573,694.1288047751887,762.6875188651072,13165.047999999999,2026-01-15,-0.5824529855690344,-21.03371408991734,756.9782913412998,-0.07694447677448955
15,13081.893,695.4245057999276,687.6897743373943,13091.494999999999,13165.047999999999,700.1226635401379,692.051761243835,13157.896999999999,2026-01-16,-1.8672685374658613,15.221902296303597,687.6897743373943,-0.27152774508898575
16,13091.494999999999,613.8296569981316,716.8411098784595,12988.976999999999,13157.896999999999,618.1374568947892,721.9806483492802,13073.979,2026-01-17,-0.49345288032782264,-19.92519145449114,716.8411098784595,-0.06883713469104578
17,12988.976999999999,679.7736254416296,665.0363787113997,13001.724,13073.979,684.6676640982516,670.0120628688967,13080.647,2026-01-18,1.990246730229046,7.987601229353459,665.0363787113997,0.2992688511394558
18,13001.724,624.8683275685331,685.9177307150512,12941.805,13080.647,629.2927420665595,690.930175377472,13011.593,2026-01-19,-1.1304031465188018,7.416566689087631,685.9177307150512,-0.16480156378818
19,12941.805,623.5653172566773,747.3203992190978,12817.389,13011.593,627.5137455605048,752.1425450355266,12894.591,2026-01-20,0.6609180375817232,-7.626799475021471,747.3203992190978,0.0884383777389645
20,12817.389,771.9010665801318,684.5213447021918,12907.701000000001,12894.591,777.4490257569717,689.375660880561,12980.016,2026-01-21,-2.932278122061689,2.648364876411506,684.5213447021918,-0.428369128991501
21,12907.701000000001,698.0905055777025,728.9605628620075,12872.047999999999,12980.016,703.4957875240277,734.515935364273,12949.304,2026-01-22,4.782942715697573,-0.30814784024551045,728.9605628620075,0.656131889620891
22,12872.047999999999,641.5049714777872,771.5453841971316,12742.857,12949.304,646.5724223066832,777.269002387001,12827.048999999999,2026-01-23,-0.8494127193462191,-8.44158008031809,771.5453841971316,-0.1100923855866387
23,12742.857,659.1190778208112,691.9041233149158,12710.908000000001,12827.048999999999,663.576181831609,696.4961969594494,12794.619999999999,2026-01-24,-0.8360454941066564,-0.4910151278400008,691.9041233149158,-0.12083256421441149
24,12710.908000000001,686.1526200469223,676.6500894069851,12719.574,12794.619999999999,691.0134945022603,681.4363838832339,12796.238,2026-01-25,0.8365306399373367,7.959110619025523,676.6500894069851,0.12362824642060871
25,12719.574,702.4746739701899,629.1147852597945,12794.756000000001,12796.238,708.1505405401874,634.2045604344074,12889.171,2026-01-26,-1.822111289606255,-18.987019894220794,629.1147852597945,-0.2896309755069275
26,12794.756000000001,685.4476066925687,664.4823045221057,12810.079,12889.171,690.5071438655468,669.4371015299375,12897.341,2026-01-27,5.642302170464973,12.900042335608305,664.4823045221057,0.849127528613859
27,12810.079,759.1095484307745,667.4708528282316,12906.312,12897.341,764.3214418399945,672.207637995949,12980.134,2026-01-28,-4.5943043974566535,9.320803844046168,667.4708528282316,-0.6883153590886405
28,12906.312,722.1593728565738,734.8990193948565,12892.351999999999,12980.134,727.8519317036717,740.653696396474,12952.897,2026-01-29,1.2203534617183323,14.435235307197217,734.8990193948565,0.16605729896377017
29,12892.351999999999,639.0680198496605,736.3271559842501,12795.636,12952.897,643.9065526050107,742.115694785991,12877.587,2026-01-30,-0.5431361345908954,-22.899142180978743,736.3271559842501,-0.07376288246015919
30,12795.636,767.227628922618,712.8401358190926,12849.479,12877.587,773.2461048015809,718.4373623308298,12914.807,2026-01-31,0.544493103525383,17.58874247075073,712.8401358190926,0.07638362041718239
31,12849.479,701.0168096135632,729.1761801332633,12820.691,12914.807,706.3727307804909,734.6854510656781,12890.454,2026-02-01,0.6286294802994234,-3.95972028518554,729.1761801332633,0.08621091821520224
32,12820.691,719.5162177663333,685.4497919759704,12858.471,12890.454,725.2479524757788,690.9118723677459,12943.173999999999,2026-02-02,-3.7135742096361355,-18.383919891966798,685.4497919759704,-0.5417718778396422
33,12858.471,820.1383063846237,745.7351587707847,12932.61,12943.173999999999,826.6900015790328,751.8342978008174,13036.425,2026-02-03,0.26414761383784935,-18.39529622178452,745.7351587707847,0.03542110234862079
34,12932.61,746.7813305155054,681.7132928031973,12993.837,13036.425,752.3421473156139,686.8152613856612,13078.348,2026-02-04,3.8410377123091166,23.603885929951502,681.7132928031973,0.5634388756767252
35,12993.837,715.9983126973572,713.7157684404639,12999.837,13078.348,722.1428817201008,719.8111928531066,13103.523,2026-02-05,-3.7174557431080757,-22.843311133005045,713.7157684404639,-0.5208594103547783
36,12999.837,655.5023885397633,749.3074829018491,12903.704000000002,13103.523,660.815557650395,755.3764385769773,12994.102,2026-02-06,2.3279056379124086,14.860119073415262,749.3074829018491,0.31067428139074627
37,12903.704000000002,753.1311015083966,661.9152578622496,12998.087,12994.102,759.301611292396,667.5009575589088,13082.993,2026-02-07,-3.167156353851169,2.909653733488085,661.9152578622496,-0.4784836602920977
38,12998.087,737.1037174021494,664.6718615344487,13065.619,13082.993,742.7639159411383,670.1704830032835,13147.279,2026-02-08,4.8998558676994435,8.307432937855992,664.6718615344487,0.7371841883584075
39,13065.619,659.9568383452583,736.7577177889706,12991.564999999999,13147.279,664.7489883798789,742.0014038184315,13072.909,2026-02-09,-2.746879443709986,-2.8824154385511065,736.7577177889706,-0.3728334807205609
40,12991.564999999999,694.198328527239,655.1987015846015,13029.252,13072.909,699.5620062590956,660.2701676130943,13123.87,2026-02-10,1.3126269426375075,-11.669161354000607,655.1987015846015,0.2003402844759784
41,13029.252,662.742750294798,739.8120697341778,12951.214,13123.87,667.6154285007707,745.4919700578683,13027.649,2026-02-11,0.9686805606197595,18.344458442903488,739.8120697341778,0.13093603095280892
42,12951.214,747.9146709599981,727.0611583578909,12972.696,13027.649,753.4912631478458,732.764802678861,13049.928,2026-02-12,-0.6284873978911492,-1.5525395310160093,727.0611583578909,-0.0864421638628893
43,12972.696,699.3691085947801,697.2377852676505,12975.966,13049.928,705.3078568271453,703.1842960466334,13068.312,2026-02-13,-1.1386766728719522,-16.260439219488035,697.2377852676505,-0.16331253080824434
44,12975.966,659.8924363191408,701.7841614667409,12931.137999999999,13068.312,665.3156140549933,707.2578563461116,13018.902,2026-02-14,2.936274852399947,7.4677577088805265,701.7841614667409,0.4184014136573106
45,12931.137999999999,727.6549799192419,642.7960848348055,13015.875,13018.902,733.6129642294208,648.0515030103693,13112.045,2026-02-15,0.12189508443589148,-7.581538780948904,642.7960848348055,0.018963258693029804
46,13015.875,636.6694845056776,692.4085144305308,12959.458,13112.045,641.7561748073017,697.8459323157533,13046.973,2026-02-16,0.6779700751467317,8.982242491549187,692.4085144305308,0.09791475133784656
